[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/urls.py first seen with mtime 1608757895.52524
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/rest_framework/response.py first seen with mtime 1603994004.2191553
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/__init__.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1603993650.3217297
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/migrations/exceptions.py first seen with mtime 1603993651.0807002
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/utils/translation/trans_real.py first seen with mtime 1603993651.328821
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_waiter/Order/Order_Dish/Views/Delete.py first seen with mtime 1608757896.0642755
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/locks.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/core/__init__.py first seen with mtime 1603993650.9211261
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/protocols.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/template/loader.py first seen with mtime 1603993651.2440476
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/utils/http.py first seen with mtime 1603993651.3048859
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/Table/Serializer/SerializerTable.py first seen with mtime 1608757894.895091
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/auth/checks.py first seen with mtime 1603993648.267985
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/core/serializers/python.py first seen with mtime 1603993651.0118845
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/concurrent/futures/_base.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/enum.py first seen with mtime 1595941180.0
